table_type,horizon,variable,n_countries,mean_value,std_error
rmse_validation_abm,2,Euribor,21,-18.163157894736845,2.160547506502628
rmse_validation_abm,4,Real GDP,21,3.6105263157894734,7.592844025394395
rmse_validation_abm,4,GDP Deflator Growth,21,-20.147368421052633,13.527492837949067
rmse_validation_abm,4,Real Gov Consumption,21,-26.973684210526315,9.20629343001873
rmse_validation_abm,4,Real Exports,21,19.26315789473684,7.84770317099331
rmse_validation_abm,4,Real Imports,21,21.78947368421053,5.9551486139180785
rmse_validation_abm,4,Real GDP (EA),21,14.052631578947368,1.6479717894354282
rmse_validation_abm,4,GDP Deflator Growth (EA),21,52.91578947368421,0.47813374758391564
rmse_validation_abm,4,Euribor,21,22.64736842105263,1.4150686223323272
rmse_validation_abm,8,Real GDP,21,19.915789473684214,7.800615747018014
rmse_validation_abm,8,GDP Deflator Growth,21,-23.0,13.998581799513149
rmse_validation_abm,8,Real Gov Consumption,21,-22.510526315789477,9.266120439337412
rmse_validation_abm,8,Real Exports,21,27.463157894736845,11.210161979638208
rmse_validation_abm,8,Real Imports,21,34.347368421052636,7.273332563160477
rmse_validation_abm,8,Real GDP (EA),21,27.542105263157897,1.915225480892336
rmse_validation_abm,8,GDP Deflator Growth (EA),21,49.76842105263158,0.5426840718564732
rmse_validation_abm,8,Euribor,21,57.17894736842104,0.5635922247090883
rmse_validation_abm,12,Real GDP,21,20.57894736842105,9.40447690748161
rmse_validation_abm,12,GDP Deflator Growth,21,-26.121052631578944,13.766500102954325
rmse_validation_abm,12,Real Gov Consumption,21,-20.28421052631579,10.900765205067819
rmse_validation_abm,12,Real Exports,21,16.189473684210526,16.22996812040273
rmse_validation_abm,12,Real Imports,21,33.40526315789474,8.381068452326673
rmse_validation_abm,12,Real GDP (EA),21,19.336842105263155,2.766394094862234
rmse_validation_abm,12,GDP Deflator Growth (EA),21,50.626315789473686,0.5522861632847051
rmse_validation_abm,12,Euribor,21,61.41578947368421,0.5294410137223862
rmse_ar,1,Real GDP,21,0.7714285714285714,0.09333321185609197
rmse_ar,1,GDP Deflator Growth,21,1.0952380952380953,0.15227734573033422
rmse_ar,1,Real Consumption,21,1.037142857142857,0.13342224926390447
rmse_ar,1,Real Investment,21,6.145238095238096,1.6719789556444524
rmse_ar,1,Euribor,21,0.030000000000000006,1.5515838457795458e-18
rmse_ar,2,Real GDP,21,1.1914285714285713,0.1352903152031035
rmse_ar,2,GDP Deflator Growth,21,1.0909523809523811,0.15190991183985572
rmse_ar,2,Real Consumption,21,1.5442857142857143,0.1884972797941549
rmse_ar,2,Real Investment,21,7.310476190476188,1.5722679215812934
rmse_ar,2,Euribor,21,0.06000000000000001,3.1031676915590916e-18
rmse_ar,4,Real GDP,21,2.086666666666667,0.24309055076867112
rmse_ar,4,GDP Deflator Growth,21,1.1047619047619048,0.15113793612776857
rmse_ar,4,Real Consumption,21,2.557142857142857,0.2934760011743825
rmse_ar,4,Real Investment,21,10.17952380952381,1.8021131083616249
rmse_ar,4,Euribor,21,0.10999999999999999,3.1031676915590916e-18
rmse_ar,8,Real GDP,21,3.7561904761904765,0.4901362668592306
rmse_ar,8,GDP Deflator Growth,21,1.0419047619047621,0.13043629908086873
rmse_ar,8,Real Consumption,21,4.425238095238096,0.5651024429031047
rmse_ar,8,Real Investment,21,15.438571428571427,2.741912287655694
rmse_ar,8,Euribor,21,0.16,0.0
rmse_ar,12,Real GDP,21,5.057619047619049,0.6750851462212201
rmse_ar,12,GDP Deflator Growth,21,1.0276190476190474,0.1281682390675199
rmse_ar,12,Real Consumption,21,5.919047619047619,0.7889281169385112
rmse_ar,12,Real Investment,21,21.730952380952385,5.479963542838493
rmse_ar,12,Euribor,21,0.2,0.0
rmse_validation_var,1,Real GDP,21,0.8757142857142858,0.10535104905702157
rmse_validation_var,1,GDP Deflator Growth,21,1.477142857142857,0.27119237843724325
rmse_validation_var,1,Real Gov Consumption,21,1.4571428571428575,0.2798597802447495
rmse_validation_var,1,Real Exports,21,2.7809523809523813,0.20570888440880855
rmse_validation_var,1,Real Imports,21,3.013333333333333,0.2260903036329187
rmse_validation_var,1,Real GDP (EA),21,0.4114285714285715,0.006183145843096927
rmse_validation_var,1,GDP Deflator Growth (EA),21,0.3919047619047619,0.002451340509758809
rmse_validation_var,1,Euribor,21,0.04333333333333334,0.0012598815766974244
rmse_validation_var,2,Real GDP,21,1.446190476190476,0.14891908347836513
rmse_validation_var,2,GDP Deflator Growth,21,1.2685714285714287,0.2082366850648625
rmse_validation_var,2,Real Gov Consumption,21,1.765714285714286,0.26732321388213204
rmse_validation_var,2,Real Exports,21,4.206190476190476,0.2618746303013426
rmse_validation_var,2,Real Imports,21,4.585238095238095,0.26668745667257254
rmse_validation_var,2,Real GDP (EA),21,0.8028571428571428,0.010626625525914953
rmse_validation_var,2,GDP Deflator Growth (EA),21,0.35666666666666663,0.0018687063686046276
rmse_validation_var,2,Euribor,21,0.07857142857142858,0.0015865077379959686
rmse_validation_var,4,Real GDP,21,2.9371428571428573,0.2747016934934389
rmse_validation_var,4,GDP Deflator Growth,21,1.089047619047619,0.1599939057796306
rmse_validation_var,4,Real Gov Consumption,21,2.68,0.35046227974463884
rmse_validation_var,4,Real Exports,21,7.8585714285714285,0.5400689046489415
rmse_validation_var,4,Real Imports,21,8.80047619047619,0.5583852042104798
rmse_validation_var,4,Real GDP (EA),21,1.7895238095238095,0.022735290278249824
rmse_validation_var,4,GDP Deflator Growth (EA),21,0.3457142857142857,0.0013041013273932481
rmse_validation_var,4,Euribor,21,0.17285714285714288,0.002595128874940706
rmse_validation_var,8,Real GDP,21,6.203333333333332,0.5786237091801518
rmse_validation_var,8,GDP Deflator Growth,21,0.981904761904762,0.13179280103111898
